titulo,subtitulo,link
OH MAN-E,Prem Player of the Season nominations revealed with Mane and Ronaldo axed,https://www.thesun.co.uk/sport/18557668/player-season-mane-ronaldo-son-bowen/
MOY MISERY,Prem Manager of the Season nominations revealed with Moyes surprise omission,https://www.thesun.co.uk/sport/18558170/premier-league-manager-of-the-season-nominations/
WHO VAR YA,Kane hasn't changed a day as he sits on Leicester bench in infamous Watford game,https://www.thesun.co.uk/sport/18556900/kane-vardy-leicester-watford-deeney/
LUK BACK IN ANGER,Lukaku appears to slam OWN agent amid transfer talk claims over future,https://www.thesun.co.uk/sport/18558157/chelsea-romelu-lukaku-talks-owners-agent-transfer-future/
DUTCH DELIGHT,Man Utd to seal De Jong transfer ‘within weeks’ as Xavi ‘gives green light’,https://www.thesun.co.uk/sport/18558018/man-utd-transfer-frenkie-de-jong-barcelona-xavi/
RICHIE RICH,"'I bought a Ferrari, then £3m house and spend £30k on night out', says Richards",https://www.thesun.co.uk/sport/18557921/micah-richards-ferrari-spending-man-city-contract/
SEVEN ANGRY MEN,Seven most outrageous manager meltdowns after Mikel Arteta's derby outburst,https://www.thesun.co.uk/sport/18556265/mikel-arteta-jose-mourinho-pep-guardiola/
'AGUEROOOO!',Aguero's amazing QPR winner began Man City era at top on this day in 2012,https://www.thesun.co.uk/sport/11609143/sergio-aguero-man-city-premier-league-martin-tyler/
ROO ARE YA?,Kane leapfrogs Rooney and Vardy to become top goalscorer EVER against Arsenal,https://www.thesun.co.uk/sport/18552414/harry-kane-goal-tottenham-arsenal-wayne-rooney-jamie-vardy/
GUNNED DOWN,Arsenal will now be beaten by Tottenham to top four - Gary Neville,https://www.thesun.co.uk/sport/18558094/arsenal-tottenham-gary-neville-premier-league/
THREE RONNIES,Ronaldo films new Nike ad with two incredible body doubles and huge security,https://www.thesun.co.uk/sport/18554933/cristiano-ronaldo-nike-advert-body-security-man-utd/
GIRLS ON TOUR,Where WAGS from infamous World Cup pic are now - split from ‘bully’ boyfriend to secret marriage and orgy scandal,https://www.thesun.co.uk/sport/18555563/wags-world-cup-photo-vardy/
TEN AND NOW,Where Man City's 2012 title winners are now including hero Aguero and Balotelli,https://www.thesun.co.uk/sport/13606238/man-city-premier-league-champions-aguero-balotelli/
DON'T GARE,Chelsea turn transfer attention to Ibrahim Sangare as Declan Rice alternative,https://www.thesun.co.uk/sport/18558797/chelsea-ibrahim-sangare-west-ham-declan-rice/
GOOD SPOT,BBC Sports Personality of the Year to be moved to avoid World Cup final clash,https://www.thesun.co.uk/sport/18554562/bbc-sports-personality-world-cup-final/
